Samples,MSE,FLIP
1,21495.2,0.554203
2,10212.1,0.435136
4,3435.12,0.310655
8,1103.56,0.223172
16,235.111,0.159551
32,65.1962,0.115772
64,21.1021,0.086877
128,6.38274,0.064922
256,2.33461,0.048900
512,0.80733,0.036090
1024,0.293113,0.026587
2048,0.112131,0.019909
4096,0.0439427,0.014902
8192,0.0192706,0.011223
16384,0.00798296,0.008303
32768,0.00319291,0.006039
65536,0.00124342,0.004054
131072,0,0.000000
