Samples,MSE,FLIP
1,4105.44,0.439059
2,1859.78,0.342820
4,809.532,0.261401
8,339.369,0.192401
16,143.216,0.143199
32,60.8235,0.106634
64,20.0754,0.079689
128,6.79462,0.056524
256,2.23925,0.042607
512,0.819489,0.032350
1024,0.261595,0.024131
2048,0.0998493,0.018080
4096,0.0415545,0.013694
