Samples,MSE,FLIP
1,60230.2,0.812206
2,28568.8,0.693467
4,13157.2,0.573462
8,6078.38,0.470343
16,2502.75,0.382480
32,1122.42,0.306434
64,517.255,0.244164
128,228.084,0.190783
256,104.097,0.147685
512,48.4766,0.112714
1024,22.7145,0.085425
2048,10.3514,0.064952
4096,4.97617,0.049722
