Samples,MSE,FLIP
1,739.969,0.465975
2,289.58,0.357758
4,120.577,0.259912
8,48.0242,0.192450
16,20.1709,0.145224
32,8.17999,0.107514
64,3.04366,0.076840
128,1.2889,0.057279
256,0.541368,0.042779
512,0.23241,0.031924
1024,0.109303,0.024248
2048,0.0503887,0.018227
4096,0.0244345,0.013621
8192,0.0131979,0.010237
16384,0.00819129,0.007620
32768,0.00627434,0.005480
65536,0.00433464,0.003675
131072,0,0.000000
