Samples,MSE,FLIP
1,1529.9,0.623705
2,766.229,0.525272
4,374.708,0.429580
8,167.893,0.338517
16,73.332,0.260258
32,35.1163,0.191782
64,16.4698,0.138870
128,7.523,0.102065
256,3.53886,0.078017
512,1.65694,0.060469
1024,0.775952,0.046832
2048,0.373663,0.036508
4096,0.179659,0.028468
