Samples,MSE,FLIP
1,51044.4,0.427297
2,26803.2,0.378562
4,9757.93,0.290157
8,4141.74,0.208956
16,1465.2,0.133261
32,617.457,0.095713
64,259.038,0.063738
128,116.504,0.045606
256,53.8738,0.032097
512,25.2512,0.023648
1024,11.1543,0.017454
2048,5.36893,0.013470
4096,2.50376,0.010369
8192,1.14752,0.007960
16384,0.519708,0.006222
32768,0.215582,0.004794
65536,0.0702057,0.003650
131072,0,0.000000
