Samples,MSE,FLIP
1,38593.9,0.387293
2,18205.5,0.336288
4,7517.4,0.269341
8,2212.35,0.181497
16,1083.62,0.145564
32,496.629,0.108294
64,216.004,0.075899
128,104.521,0.054386
256,45.8408,0.037038
512,20.5576,0.026161
1024,9.50541,0.018958
2048,4.55935,0.014347
4096,2.20472,0.011092
