Samples,MSE,FLIP
1,1611.57,0.551303
2,775.813,0.436333
4,322.982,0.332061
8,127.923,0.243445
16,45.4205,0.174464
32,15.5845,0.124372
64,5.81322,0.090387
128,2.07306,0.064214
256,0.870098,0.048385
512,0.354542,0.036349
1024,0.144992,0.027065
2048,0.0644338,0.020290
4096,0.0303907,0.015234
