Samples,MSE,FLIP
1,143192,0.790415
2,68441.2,0.663314
4,26102.9,0.534800
8,9829.04,0.424598
16,3907.63,0.340502
32,1438.74,0.270587
64,642.368,0.213220
128,270.215,0.166709
256,121.925,0.129211
512,54.4885,0.099418
1024,25.0214,0.076138
2048,11.716,0.058459
4096,5.36328,0.044641
8192,2.44878,0.033976
16384,1.07579,0.025506
32768,0.441573,0.018698
65536,0.146023,0.012545
131072,0,0.000000
