wl,intensity
590,0.0079928
590.5,0.008076
591,0.0081474
591.5,0.0082231
592,0.0082887
592.5,0.0083376
593,0.0084549
593.5,0.0085696
594,0.0087258
594.5,0.0089127
595,0.0090478
595.5,0.0091884
596,0.0093428
596.5,0.0095468
597,0.0097698
597.5,0.0099582
598,0.010189
598.5,0.010435
599,0.01067
599.5,0.010902
600,0.01117
600.5,0.011463
601,0.011827
601.5,0.012182
602,0.012505
602.5,0.012786
603,0.013083
603.5,0.013449
604,0.013811
604.5,0.014201
605,0.014631
605.5,0.015141
606,0.015646
606.5,0.016134
607,0.016628
607.5,0.017128
608,0.017672
608.5,0.018197
609,0.018775
609.5,0.019364
610,0.019976
610.5,0.020625
611,0.021314
611.5,0.02208
612,0.022814
612.5,0.023577
613,0.024378
613.5,0.025264
614,0.026141
614.5,0.027009
615,0.027829
615.5,0.028658
616,0.029413
616.5,0.03014
617,0.030853
617.5,0.031545
618,0.032122
618.5,0.032572
619,0.032968
619.5,0.033303
620,0.033383
620.5,0.033197
621,0.032787
621.5,0.032254
622,0.031369
622.5,0.030202
623,0.028766
623.5,0.027217
624,0.025577
624.5,0.023941
625,0.02232
625.5,0.020741
626,0.019283
626.5,0.017904
627,0.016583
627.5,0.015284
628,0.01409
628.5,0.013034
629,0.012093
629.5,0.011286
630,0.010614
630.5,0.0099867
631,0.009384
631.5,0.0088291
632,0.0083248
632.5,0.0078165
633,0.0073553
633.5,0.0069289
634,0.0065622
634.5,0.0061584
635,0.005807
635.5,0.0055332
636,0.0053186
636.5,0.0050869
637,0.0048617
637.5,0.0045946
638,0.0043743
638.5,0.0041225
639,0.0039701
639.5,0.0038415
640,0.0037528
640.5,0.003628
641,0.0034755
641.5,0.0033354
642,0.0032441
642.5,0.0031668
643,0.0030782
643.5,0.0029424
644,0.0028184
644.5,0.0026838
645,0.0025972
645.5,0.002486
646,0.0024265
646.5,0.0023823
647,0.0023655
647.5,0.002342
648,0.0022575
648.5,0.0021616
649,0.0021019
649.5,0.0021222
650,0.0021781
650.5,0.0021747
651,0.0020909
651.5,0.0019545
652,0.0018277
652.5,0.0017949
653,0.0017827
653.5,0.0018109
654,0.0017875
654.5,0.0017794
655,0.0017572
655.5,0.0017125
656,0.0016393
656.5,0.0015859
657,0.0014941
657.5,0.0014324
658,0.0013884
658.5,0.0014078
659,0.0014588
659.5,0.001431
660,0.0013832
660.5,0.0012898
661,0.001268
661.5,0.0012703
662,0.0012426
662.5,0.0011721
663,0.0011182
663.5,0.0011282
664,0.0011792
664.5,0.0011513
665,0.0010859
665.5,0.0010306
666,0.00098061
666.5,0.00097417
667,0.00094286
667.5,0.00095925
668,0.00096217
668.5,0.00097694
669,0.00099407
669.5,0.0010498
