wl,val
360,0
360.47,0
360.94,0
361.41,0
361.88,0
362.35,0
362.82,0
363.29,0
363.76,0
364.23,0
364.7,0
365.17,0
365.64,0
366.11,0
366.58,0
367.05,0
367.52,0
367.99,0
368.46,0
368.93,0
369.4,0
369.87,0
370.34,0
370.81,0
371.28,0
371.75,0
372.22,0
372.69,0
373.16,0
373.63,0
374.1,0
374.57,0
375.04,0
375.51,0
375.98,0
376.45,0
376.92,0
377.39,0
377.86,0
378.33,0
378.8,0
379.27,0
379.74,0
380.21,0.0014646035
380.68,0.0014335593
381.15,0.0014021178
381.62,0.0013702754
382.09,0.0013380301
382.56,0.001305379
383.03,0.0012723196
383.5,0.0012388494
383.97,0.0012049649
384.44,0.0011706646
384.91,0.0011359452
385.38,0.0011148115
385.85,0.0010967414
386.32,0.0010784332
386.79,0.0010598858
387.26,0.0010410977
387.73,0.0010220669
388.2,0.001002792
388.67,0.000983272
389.14,0.0009635044
389.61,0.00094348984
390.08,0.0009263349
390.55,0.000924213
391.02,0.0009220338
391.49,0.00091979705
391.96,0.0009175022
392.43,0.000915149
392.9,0.0009127367
393.37,0.000910265
393.84,0.00090773334
394.31,0.00090514193
394.78,0.0009024893
395.25,0.0009758799
395.72,0.0011173302
396.19,0.0012602241
396.66,0.0014045696
397.13,0.0015503741
397.6,0.0016976445
398.07,0.0018463879
398.54,0.0019966122
399.01,0.002148323
399.48,0.0023015284
399.95,0.0024562364
400.41998,0.003989878
400.89,0.005704195
401.36,0.007435717
401.83,0.009184863
402.3,0.010951603
402.77,0.012736021
403.24,0.014538191
403.71,0.016358206
404.18,0.018196134
404.65,0.020052057
405.12,0.021047946
405.59,0.019478932
406.06,0.0178934
406.53,0.016291274
407,0.014672477
407.47,0.0130369365
407.94,0.011384579
408.41,0.009715327
408.88,0.008029113
409.35,0.0063258596
409.82,0.004605495
410.29,0.0040168324
410.76,0.004138774
411.23,0.004261772
411.7,0.00438583
412.16998,0.0045109414
412.64,0.004637137
413.11,0.004764386
413.58,0.0048927153
414.05,0.005022122
414.52,0.005152609
414.99,0.0052841795
