Samples,MSE,FLIP
1,1749.92,0.551682
2,791.901,0.443512
4,321.123,0.337274
8,120.461,0.246098
16,51.2945,0.179529
32,21.4889,0.132252
64,6.95353,0.092783
128,2.62348,0.065015
