Samples,MSE,FLIP
1,1336.05,0.606718
2,666.363,0.501355
4,337.057,0.406431
8,148.939,0.319923
16,70.4292,0.250936
32,33.1667,0.195297
64,15.1943,0.149978
128,6.93277,0.114341
256,3.28294,0.088710
512,1.54634,0.068864
1024,0.731607,0.053778
