Samples,MSE,FLIP
1,2387.48,0.672564
2,1061.78,0.543249
4,504.457,0.418022
8,217.276,0.325325
16,96.6528,0.255896
32,44.5087,0.198977
64,21.0543,0.153289
128,9.53248,0.118810
256,4.47201,0.092818
512,2.06638,0.072026
1024,0.965106,0.055946
