Samples,MSE,FLIP
1,658.248,0.465741
2,283.847,0.362790
4,122.041,0.269056
8,47.0533,0.193500
16,19.6119,0.143776
32,7.96031,0.105935
64,3.00282,0.076248
128,1.40379,0.058687
