Samples,MSE,FLIP
1,4014.63,0.440038
2,1852.52,0.353139
4,834.158,0.274236
8,380.226,0.199811
16,177.984,0.147248
32,70.1198,0.109994
64,20.5538,0.078862
128,7.99192,0.056544
256,2.71432,0.042745
512,0.897014,0.032228
1024,0.281605,0.024037
