Samples,MSE,FLIP
1,38655,0.387047
2,16889.4,0.319242
4,5654.13,0.241623
8,2183.97,0.177594
16,1065.58,0.142093
32,485.636,0.106044
64,217.961,0.075604
128,105.03,0.053896
256,47.6115,0.037792
512,20.6409,0.026004
1024,9.46495,0.018950
