Samples,MSE,FLIP
1,21467.4,0.553172
2,9360.4,0.428067
4,2881.19,0.303838
8,790.139,0.216978
16,259.469,0.161803
32,65.6658,0.118740
64,22.5539,0.086585
128,6.74,0.065988
256,2.12194,0.049938
512,0.782782,0.036122
1024,0.303265,0.026843
