Samples,MSE,FLIP
1,51059.4,0.427649
2,21066.9,0.360771
4,8724.69,0.280318
8,3218.83,0.189328
16,1258.86,0.129818
32,564.452,0.092825
64,246.588,0.063470
128,113.19,0.045121
256,53.0157,0.031801
512,24.3284,0.023349
1024,10.996,0.017384
